id,username,movie_name,text,dataset,manipulation,click_locations,difficulty,split
31,Vlad Hondru,537_W136.mp4,"The face suffers distortions, especially around the mouth and the left eyebrow.",Deeperforensics,end_to_end,"{""24"": {""x"": 0.515, ""y"": 0.3115727002967359}, ""19"": {""x"": 0.5, ""y"": 0.4065281899109792}, ""243"": {""x"": 0.4866666666666667, ""y"": 0.42136498516320475}}",1,train
32,Vlad Hondru,723_W132.mp4,"The color of the face continuously changes. When talking, the mouth barely closes.",Deeperforensics,end_to_end,"{""44"": {""x"": 0.46, ""y"": 0.3}, ""58"": {""x"": 0.528, ""y"": 0.29}, ""85"": {""x"": 0.498, ""y"": 0.2875}, ""106"": {""x"": 0.474, ""y"": 0.35}, ""130"": {""x"": 0.518, ""y"": 0.3475}}",2,train
33,Vlad Hondru,876_M025.mp4,"The nose looks like it is made of plastic. The mouth is clearly artificial (moving uncharacteristically, fake teeth).",Deeperforensics,end_to_end,"{""86"": {""x"": 0.696, ""y"": 0.335}, ""97"": {""x"": 0.706, ""y"": 0.335}, ""107"": {""x"": 0.72, ""y"": 0.33}, ""241"": {""x"": 0.7, ""y"": 0.2775}, ""256"": {""x"": 0.7, ""y"": 0.285}}",2,train
34,Vlad Hondru,871_W041.mp4,The shape of the jaw is abnormal and appears distorted. The eye movement is unnatural and the irises twitch at times. At one point one of the irises go white. At a different point the eyes are different sizes with one being significantly smaller than the other. The mouth movements are also unnatural and the mouth get distorted from time to time.,Deeperforensics,end_to_end,"{""331"": {""x"": 0.366, ""y"": 0.685}, ""32"": {""x"": 0.4, ""y"": 0.3475}, ""115"": {""x"": 0.488, ""y"": 0.625}, ""116"": {""x"": 0.488, ""y"": 0.625}, ""226"": {""x"": 0.48, ""y"": 0.6}, ""245"": {""x"": 0.382, ""y"": 0.34}}",2,train
35,Vlad Hondru,931_W125.mp4,There are some artifacts below the eyes.,Deeperforensics,end_to_end,"{""38"": {""x"": 0.495, ""y"": 0.26}, ""84"": {""x"": 0.5533333333333333, ""y"": 0.25333333333333335}, ""140"": {""x"": 0.49333333333333335, ""y"": 0.24444444444444444}, ""161"": {""x"": 0.46166666666666667, ""y"": 0.25333333333333335}}",3,train
36,Vlad Hondru,768_M012.mp4,There is an blob artifact on the forehead. The neck is enlarged.,Deeperforensics,end_to_end,"{""115"": {""x"": 0.605, ""y"": 0.2195845697329377}, ""261"": {""x"": 0.5733333333333334, ""y"": 0.5370919881305638}, ""330"": {""x"": 0.5533333333333333, ""y"": 0.5222551928783383}}",2,train
37,Vlad Hondru,875_M025.mp4,"The whole face is not natural: the eyes are clearly artificial, the color of the cheeks and the nose is different, the mouth has an unusual motion, and the teeth are fake.",Deeperforensics,end_to_end,"{""55"": {""x"": 0.54, ""y"": 0.2975}, ""72"": {""x"": 0.586, ""y"": 0.3125}, ""84"": {""x"": 0.574, ""y"": 0.3075}, ""134"": {""x"": 0.544, ""y"": 0.3675}, ""193"": {""x"": 0.556, ""y"": 0.48}, ""223"": {""x"": 0.502, ""y"": 0.42}}",2,train
38,Vlad Hondru,884_W042.mp4,The face is distorted and not uniform. The teeth are very big.,Deeperforensics,end_to_end,"{""35"": {""x"": 0.49333333333333335, ""y"": 0.4488888888888889}, ""67"": {""x"": 0.48333333333333334, ""y"": 0.44222222222222224}, ""90"": {""x"": 0.43, ""y"": 0.37555555555555553}, ""145"": {""x"": 0.4216666666666667, ""y"": 0.38222222222222224}, ""173"": {""x"": 0.5383333333333333, ""y"": 0.36}}",1,train
39,Vlad Hondru,613_M120.mp4,"There is a hair artifact near the ear. Face is puffy, with the color of the skin not being uniform.",Deeperforensics,end_to_end,"{""46"": {""x"": 0.5333333333333333, ""y"": 0.3916913946587537}, ""76"": {""x"": 0.37666666666666665, ""y"": 0.4540059347181009}, ""160"": {""x"": 0.5416666666666666, ""y"": 0.44807121661721067}, ""265"": {""x"": 0.54, ""y"": 0.36795252225519287}}",2,train
40,Vlad Hondru,639_M122.mp4,The face is flickering. The mouth does not have a natural aspect.,Deeperforensics,end_to_end,"{""113"": {""x"": 0.5383333333333333, ""y"": 0.3115727002967359}, ""130"": {""x"": 0.44666666666666666, ""y"": 0.3293768545994065}, ""167"": {""x"": 0.5033333333333333, ""y"": 0.314540059347181}, ""283"": {""x"": 0.445, ""y"": 0.36795252225519287}, ""307"": {""x"": 0.525, ""y"": 0.3353115727002967}, ""343"": {""x"": 0.5233333333333333, ""y"": 0.3264094955489614}, ""507"": {""x"": 0.49333333333333335, ""y"": 0.314540059347181}, ""529"": {""x"": 0.45666666666666667, ""y"": 0.3649851632047478}}",1,train
41,Vlad Hondru,523_M101.mp4,"The skin face does not look natural, while the mouth does not fully open all the time when talking.",Deeperforensics,end_to_end,"{""37"": {""x"": 0.5, ""y"": 0.4599406528189911}, ""78"": {""x"": 0.5283333333333333, ""y"": 0.4658753709198813}}",3,train
42,Vlad Hondru,985_W131.mp4,"The face suffer changes, especially its brightness.",Deeperforensics,end_to_end,"{""70"": {""x"": 0.2683333333333333, ""y"": 0.2511111111111111}, ""90"": {""x"": 0.33666666666666667, ""y"": 0.29333333333333333}, ""113"": {""x"": 0.21, ""y"": 0.28}, ""184"": {""x"": 0.2783333333333333, ""y"": 0.25333333333333335}, ""218"": {""x"": 0.22, ""y"": 0.2866666666666667}, ""260"": {""x"": 0.255, ""y"": 0.2644444444444444}}",2,train
43,Vlad Hondru,706_W017.mp4,"The eyes are fluttering, and together with the mouth, they look artificial.",Deeperforensics,end_to_end,"{""25"": {""x"": 0.37166666666666665, ""y"": 0.41839762611275966}, ""139"": {""x"": 0.5133333333333333, ""y"": 0.4065281899109792}, ""192"": {""x"": 0.4066666666666667, ""y"": 0.5667655786350149}, ""225"": {""x"": 0.47333333333333333, ""y"": 0.5667655786350149}, ""265"": {""x"": 0.4683333333333333, ""y"": 0.6172106824925816}}",1,train
44,Vlad Hondru,862_W039.mp4,"The mouth is unusually big. The left cheek is deformed, and has a different color than the rest of the skin. The nose is not blended with the face.",Deeperforensics,end_to_end,"{""39"": {""x"": 0.228, ""y"": 0.3575}, ""93"": {""x"": 0.214, ""y"": 0.3725}, ""153"": {""x"": 0.208, ""y"": 0.3375}}",2,train
45,Vlad Hondru,797_M016.mp4,"The motion of the mouth is not natural, only the upper lip moving.",Deeperforensics,end_to_end,"{""132"": {""x"": 0.6233333333333333, ""y"": 0.43777777777777777}, ""151"": {""x"": 0.6433333333333333, ""y"": 0.43333333333333335}, ""145"": {""x"": 0.6333333333333333, ""y"": 0.44222222222222224}}",3,train
46,Vlad Hondru,854_M022.mp4,"The right side of the face, as well as the area around the right ear, are deforming.",Deeperforensics,end_to_end,"{""137"": {""x"": 0.38, ""y"": 0.3086053412462908}, ""170"": {""x"": 0.38333333333333336, ""y"": 0.3115727002967359}, ""85"": {""x"": 0.4166666666666667, ""y"": 0.3768545994065282}}",2,train
47,Vlad Hondru,621_W101.mp4,The interior of the mouth is distorted.,Deeperforensics,end_to_end,"{""146"": {""x"": 0.5083333333333333, ""y"": 0.6112759643916914}, ""233"": {""x"": 0.515, ""y"": 0.6112759643916914}, ""273"": {""x"": 0.49666666666666665, ""y"": 0.599406528189911}, ""284"": {""x"": 0.5333333333333333, ""y"": 0.5905044510385756}}",2,train
48,Vlad Hondru,550_M109.mp4,The mouth does not always open when talking.,Deeperforensics,end_to_end,"{""48"": {""x"": 0.2816666666666667, ""y"": 0.3888888888888889}, ""62"": {""x"": 0.3016666666666667, ""y"": 0.3933333333333333}, ""206"": {""x"": 0.2816666666666667, ""y"": 0.4088888888888889}, ""222"": {""x"": 0.2966666666666667, ""y"": 0.4088888888888889}}",2,train
49,Vlad Hondru,785_W133.mp4,The middle of the face is flickering.,Deeperforensics,end_to_end,"{""137"": {""x"": 0.45166666666666666, ""y"": 0.3422222222222222}, ""156"": {""x"": 0.5033333333333333, ""y"": 0.3288888888888889}, ""176"": {""x"": 0.45166666666666666, ""y"": 0.36666666666666664}, ""225"": {""x"": 0.52, ""y"": 0.3511111111111111}}",2,train
50,Vlad Hondru,568_M114.mp4,The teeth are artificial.,Deeperforensics,end_to_end,"{""40"": {""x"": 0.5266666666666666, ""y"": 0.41333333333333333}, ""57"": {""x"": 0.5183333333333333, ""y"": 0.3844444444444444}, ""144"": {""x"": 0.49833333333333335, ""y"": 0.3888888888888889}}",1,train
51,Vlad Hondru,548_M109.mp4,There are some artifacts below the chin. The teeth have a metallic aspect.,Deeperforensics,end_to_end,"{""97"": {""x"": 0.3883333333333333, ""y"": 0.5578635014836796}, ""114"": {""x"": 0.4033333333333333, ""y"": 0.5667655786350149}, ""129"": {""x"": 0.4066666666666667, ""y"": 0.599406528189911}, ""206"": {""x"": 0.41, ""y"": 0.5786350148367952}, ""304"": {""x"": 0.4266666666666667, ""y"": 0.7359050445103857}, ""315"": {""x"": 0.42333333333333334, ""y"": 0.7388724035608308}}",1,train
52,Vlad Hondru,689_M004.mp4,The beard is fading away when further from the mouth. The face suffers some flickering.,Deeperforensics,end_to_end,"{""161"": {""x"": 0.45, ""y"": 0.41555555555555557}, ""187"": {""x"": 0.565, ""y"": 0.41333333333333333}, ""241"": {""x"": 0.49666666666666665, ""y"": 0.46444444444444444}, ""295"": {""x"": 0.5516666666666666, ""y"": 0.35555555555555557}, ""431"": {""x"": 0.44166666666666665, ""y"": 0.3488888888888889}}",2,train
53,Vlad Hondru,866_M024.mp4,"The mouth is very big and round. When trying to talk, the lips are separating (looking like they are glued).",Deeperforensics,end_to_end,"{""127"": {""x"": 0.476, ""y"": 0.36}, ""153"": {""x"": 0.508, ""y"": 0.2525}}",2,train
54,Vlad Hondru,572_M115.mp4,"The nose is not well blended with the face, as well as it changes the color. The eyes are bulging.",Deeperforensics,end_to_end,"{""317"": {""x"": 0.622, ""y"": 0.2975}, ""347"": {""x"": 0.604, ""y"": 0.3325}}",2,train
55,Vlad Hondru,781_W029.mp4,The space between the cheeks and the rest of the face (around the mouth area) is represented by an odd bumpy distortion.,Deeperforensics,end_to_end,"{""27"": {""x"": 0.48, ""y"": 0.4225}, ""42"": {""x"": 0.55, ""y"": 0.42}}",2,train
56,Vlad Hondru,529_W036.mp4,"The face is distorted, especially around the mouth.",Deeperforensics,end_to_end,"{""74"": {""x"": 0.49166666666666664, ""y"": 0.41543026706231456}, ""99"": {""x"": 0.5333333333333333, ""y"": 0.456973293768546}, ""113"": {""x"": 0.455, ""y"": 0.42729970326409494}, ""213"": {""x"": 0.495, ""y"": 0.3323442136498516}, ""252"": {""x"": 0.5166666666666667, ""y"": 0.3560830860534125}, ""274"": {""x"": 0.44333333333333336, ""y"": 0.3768545994065282}}",2,train
57,Vlad Hondru,520_W035.mp4,"The nose does not blend well with the face, especially the nostrils. Some artifacts around the cheeks.",Deeperforensics,end_to_end,"{""70"": {""x"": 0.5566666666666666, ""y"": 0.34421364985163205}, ""131"": {""x"": 0.5166666666666667, ""y"": 0.34718100890207715}, ""165"": {""x"": 0.5516666666666666, ""y"": 0.3323442136498516}, ""102"": {""x"": 0.6116666666666667, ""y"": 0.3323442136498516}, ""173"": {""x"": 0.595, ""y"": 0.3649851632047478}}",2,train
58,Vlad Hondru,840_M134.mp4,Some alterations of the skin color are present.,Deeperforensics,end_to_end,"{""269"": {""x"": 0.398, ""y"": 0.305}}",2,train
59,Vlad Hondru,882_W041.mp4,The eyes are shuddering and the teeth are clearly synthetic.,Deeperforensics,end_to_end,"{""89"": {""x"": 0.5433333333333333, ""y"": 0.2195845697329377}, ""116"": {""x"": 0.6116666666666667, ""y"": 0.2344213649851632}, ""220"": {""x"": 0.57, ""y"": 0.35014836795252224}, ""258"": {""x"": 0.5416666666666666, ""y"": 0.3649851632047478}, ""304"": {""x"": 0.5133333333333333, ""y"": 0.22255192878338279}}",1,train
60,Vlad Hondru,663_W012.mp4,The skin is not uniform: the outer part is darker than the inner part.,Deeperforensics,end_to_end,"{""145"": {""x"": 0.33, ""y"": 0.2511111111111111}, ""166"": {""x"": 0.375, ""y"": 0.2511111111111111}, ""197"": {""x"": 0.3466666666666667, ""y"": 0.2311111111111111}}",2,train
61,Vlad Hondru,624_W006.mp4,The skin color is changing.,Deeperforensics,end_to_end,"{""95"": {""x"": 0.49833333333333335, ""y"": 0.39762611275964393}, ""141"": {""x"": 0.43333333333333335, ""y"": 0.44510385756676557}}",3,train
62,Vlad Hondru,615_M105.mp4,"The mouth is blurry, as well as not having a natural motion. Teeth are missing as well.",Deeperforensics,end_to_end,"{""37"": {""x"": 0.56, ""y"": 0.45}, ""41"": {""x"": 0.57, ""y"": 0.445}, ""52"": {""x"": 0.584, ""y"": 0.4425}, ""415"": {""x"": 0.546, ""y"": 0.4575}, ""427"": {""x"": 0.562, ""y"": 0.4575}}",2,train
63,Vlad Hondru,832_W036.mp4,"There are unusual shadows that flicker on the center on the face and on the cheek area. The eyes also look unnatural, almost doll-like.",Deeperforensics,end_to_end,"{""55"": {""x"": 0.52, ""y"": 0.405}, ""76"": {""x"": 0.426, ""y"": 0.3775}, ""199"": {""x"": 0.488, ""y"": 0.3275}}",2,train
64,Vlad Hondru,629_W006.mp4,"The eyes seem a bit disproportionate to the rest of the face, i.e. to small. The eye movement is unusual.",Deeperforensics,end_to_end,"{""365"": {""x"": 0.744, ""y"": 0.2525}, ""507"": {""x"": 0.7, ""y"": 0.27}, ""649"": {""x"": 0.764, ""y"": 0.265}}",2,train
65,Vlad Hondru,858_M023.mp4,The mouth and the face muscles around it have an unnatural motion.,Deeperforensics,end_to_end,"{""186"": {""x"": 0.6083333333333333, ""y"": 0.3530751708428246}, ""220"": {""x"": 0.6683333333333333, ""y"": 0.3530751708428246}, ""318"": {""x"": 0.6466666666666666, ""y"": 0.3439635535307517}}",3,train
66,Vlad Hondru,890_W110.mp4,Eyes movement is unnatural. The irises move abnormally quick and the size and shape of the eyes changes throughout the video. There are also unusual shadows around the chin area.,Deeperforensics,end_to_end,"{""341"": {""x"": 0.61, ""y"": 0.5475}, ""179"": {""x"": 0.634, ""y"": 0.295}, ""295"": {""x"": 0.55, ""y"": 0.3775}}",2,train
67,Vlad Hondru,896_M028.mp4,The cheeks are not coherently moving. The area around upper lip and nose is unnatural.,Deeperforensics,end_to_end,"{""132"": {""x"": 0.68, ""y"": 0.3675}, ""151"": {""x"": 0.7, ""y"": 0.4}, ""171"": {""x"": 0.662, ""y"": 0.4}}",2,train
68,Vlad Hondru,798_W031.mp4,"The face muscles do not look real, especially those around the cheekbones.",Deeperforensics,end_to_end,"{""137"": {""x"": 0.34833333333333333, ""y"": 0.3768545994065282}, ""221"": {""x"": 0.4483333333333333, ""y"": 0.35311572700296734}, ""366"": {""x"": 0.36666666666666664, ""y"": 0.4332344213649852}}",3,train
69,Vlad Hondru,649_W010.mp4,No teeth inside the mouth.,Deeperforensics,end_to_end,"{""120"": {""x"": 0.51, ""y"": 0.43026706231454004}, ""178"": {""x"": 0.5166666666666667, ""y"": 0.4332344213649852}}",2,train
70,Vlad Hondru,580_W110.mp4,The area around the mouth is continuously distorting.,Deeperforensics,end_to_end,"{""38"": {""x"": 0.4716666666666667, ""y"": 0.23738872403560832}, ""53"": {""x"": 0.5183333333333333, ""y"": 0.2195845697329377}, ""62"": {""x"": 0.48833333333333334, ""y"": 0.2166172106824926}, ""76"": {""x"": 0.49, ""y"": 0.19584569732937684}, ""101"": {""x"": 0.5, ""y"": 0.26409495548961426}, ""151"": {""x"": 0.48833333333333334, ""y"": 0.2789317507418398}, ""180"": {""x"": 0.48333333333333334, ""y"": 0.18694362017804153}, ""292"": {""x"": 0.485, ""y"": 0.2818991097922849}}",1,train
71,Vlad Hondru,889_W042.mp4,The whole face is distorted.,Deeperforensics,end_to_end,"{""27"": {""x"": 0.43, ""y"": 0.3857566765578635}, ""67"": {""x"": 0.53, ""y"": 0.37091988130563797}, ""88"": {""x"": 0.36333333333333334, ""y"": 0.4035608308605341}, ""120"": {""x"": 0.45166666666666666, ""y"": 0.5786350148367952}, ""212"": {""x"": 0.47833333333333333, ""y"": 0.5667655786350149}, ""240"": {""x"": 0.42833333333333334, ""y"": 0.3768545994065282}, ""258"": {""x"": 0.545, ""y"": 0.3560830860534125}}",1,train
